date,load_gw,year,month,quarter,weekofyear,sin_week,cos_week,holiday_days,has_holiday,temp_mean,temp_min,temp_max,heating_degree_days,cooling_degree_days,lag_1,lag_2,lag_4,lag_8,lag_52,rolling_mean_4,rolling_mean_8,rolling_std_4,rolling_std_8
2016-03-06 00:00:00+00:00,58.698702380952376,2016,3,1,9,0.8854560256532098,0.4647231720437686,0,0,2.588690476190476,-2.2,9.3,15.411309523809525,0.0,58.631726190476186,59.96314285714285,59.32980952380952,56.615142857142864,59.01157738095238,59.22454761904761,59.23498288690476,0.5689344339356304,1.3325451317180756
2016-03-13 00:00:00+00:00,58.708357142857146,2016,3,1,10,0.9350162426854148,0.35460488704253557,0,0,2.5732142857142857,-3.2,8.2,15.426785714285714,0.0,58.698702380952376,58.631726190476186,58.9735119047619,59.91391071428571,56.92314880952381,59.06677083333333,59.49542782738095,0.6156076292967015,0.8710517583295804
2016-03-20 00:00:00+00:00,57.62138095238095,2016,3,1,11,0.970941817426052,0.23931566428755804,0,0,3.941071428571429,-1.8,9.4,14.058928571428572,0.0,58.708357142857146,58.698702380952376,59.96314285714285,61.26752976190476,55.459291666666665,59.00048214285714,59.344733630952376,0.6426778984756322,0.8923324627810274
2016-03-27 00:00:00+00:00,54.017779761904755,2016,3,1,12,0.992708874098054,0.120536680255323,0,0,5.9904761904761905,0.4,15.5,12.00952380952381,0.0,57.62138095238095,58.708357142857146,58.631726190476186,59.185089285714284,55.87660714285715,58.41504166666667,58.888965029761906,0.5302033828831461,0.6745156907859177
2016-04-03 00:00:00+00:00,53.22379166666666,2016,4,2,13,1.0,-1.6081226496766366e-16,0,0,8.02142857142857,1.1,18.3,9.97857142857143,0.0,54.017779761904755,57.62138095238095,58.698702380952376,59.32980952380952,53.36976190476191,57.261555059523815,58.243051339285714,2.2218746999205994,1.8317797861363194
2016-04-10 00:00:00+00:00,54.83217857142857,2016,4,2,14,0.992708874098054,-0.12053668025532288,0,0,10.491071428571429,2.0,20.3,7.508928571428571,0.0,53.22379166666666,54.017779761904755,58.708357142857146,58.9735119047619,51.60528571428571,55.892827380952376,57.47979910714285,2.6804639217430903,2.473846422212793
2016-04-17 00:00:00+00:00,53.15043452380952,2016,4,2,15,0.9709418174260521,-0.2393156642875575,0,0,9.776785714285714,2.6,16.7,8.223214285714286,0.0,54.83217857142857,53.22379166666666,57.62138095238095,59.96314285714285,53.378732142857146,54.92378273809524,56.96213244047618,1.9145267896507252,2.5487896063484197
2016-04-24 00:00:00+00:00,53.383125,2016,4,2,16,0.9350162426854148,-0.35460488704253545,0,0,7.426190476190476,1.0,13.6,10.573809523809524,0.0,53.15043452380952,54.83217857142857,54.017779761904755,58.631726190476186,52.511922619047624,53.806046130952375,56.110543898809524,0.7888019938435034,2.540968666096896
2016-05-01 00:00:00+00:00,54.88391071428571,2016,5,2,17,0.8854560256532099,-0.4647231720437685,0,0,7.6119047619047615,-0.3,17.2,10.38809523809524,0.0,53.383125,53.15043452380952,53.22379166666666,58.698702380952376,50.88061904761904,53.64738244047619,55.454468750000004,0.7958140993770817,2.473708298696801
2016-05-08 00:00:00+00:00,50.6261130952381,2016,5,2,18,0.8229838658936565,-0.5680647467311557,0,0,13.686309523809523,4.8,22.7,4.313690476190475,0.0,54.88391071428571,53.383125,54.83217857142857,58.708357142857146,53.23302976190476,54.062412202380955,54.97761979166666,0.9238568535419208,2.098163633026916
