date,temp_mean,temp_min,temp_max,heating_degree_days,cooling_degree_days
2016-07-10,18.73452380952381,11.4,29.6,0.0,0.0
2016-07-17,19.316071428571426,10.1,28.6,0.0,0.0
2016-07-24,21.70952380952381,14.1,28.7,0.0,0.0
2016-07-31,21.92142857142857,15.7,30.2,0.0,0.0
2016-08-07,18.40297619047619,12.7,26.3,0.0,0.0
2016-08-14,17.823214285714286,10.1,27.0,0.17678571428571388,0.0
2016-08-21,18.02202380952381,9.0,26.4,0.0,0.0
2016-08-28,22.7125,14.3,34.7,0.0,0.0
2016-09-04,19.961904761904762,13.0,26.3,0.0,0.0
2016-09-11,20.101190476190474,11.3,29.2,0.0,0.0
2016-09-18,21.46607142857143,13.1,31.0,0.0,0.0
2016-09-25,15.65297619047619,9.9,21.9,2.34702380952381,0.0
2016-10-02,16.302380952380954,9.0,24.8,1.697619047619046,0.0
2016-10-09,10.719047619047618,5.7,16.4,7.280952380952382,0.0
2016-10-16,8.325,4.1,12.6,9.675,0.0
2016-10-23,8.020238095238096,1.9,13.9,9.979761904761904,0.0
2016-10-30,8.616071428571429,2.8,12.7,9.383928571428571,0.0
2016-11-06,6.270833333333333,1.0,12.1,11.729166666666668,0.0
2016-11-13,0.8238095238095239,-3.8,6.2,17.176190476190477,0.0
2016-11-20,6.042261904761905,-3.8,14.0,11.957738095238096,0.0
2016-11-27,4.702976190476191,-1.1,11.3,13.29702380952381,0.0
2016-12-04,0.6416666666666666,-4.2,7.5,17.358333333333334,0.0
2016-12-11,3.8601190476190474,-4.0,9.6,14.139880952380953,0.0
2016-12-18,1.3392857142857142,-3.7,6.1,16.660714285714285,0.0
2016-12-25,2.3232142857142857,-2.3,8.8,15.676785714285714,0.0
2017-01-01,3.370833333333333,-2.9,9.8,14.629166666666666,0.0
2017-01-08,-2.0857142857142854,-9.0,4.2,20.085714285714285,0.0
2017-01-15,-0.7523809523809524,-6.6,3.5,18.752380952380953,0.0
2017-01-22,-2.7910714285714286,-10.7,2.1,20.791071428571428,0.0
2017-01-29,-1.5226190476190475,-7.0,6.4,19.52261904761905,0.0
2017-02-05,0.20297619047619048,-5.1,7.7,17.79702380952381,0.0
2017-02-12,-2.7023809523809526,-6.1,1.0,20.702380952380953,0.0
2017-02-19,1.2130952380952382,-6.4,10.9,16.78690476190476,0.0
