date,Actual,Mean,Naive,Seasonal naive,Drift,SARIMAX,Linear Regression,Random Forest,MLP
2019-02-10,62.35953571428571,55.65054511874547,54.287059523809525,61.24415476190476,54.934813395894075,59.996089038831315,61.39388981358752,59.906987015275334,59.76119018719952
2019-02-17,60.79900595238095,55.65054511874547,54.287059523809525,60.73777380952381,54.970799722120994,59.7991957750085,61.36974104172282,59.395397299722,59.64092356669785
2019-02-24,59.46751785714285,55.65054511874547,54.287059523809525,60.69296428571428,55.00678604834791,59.64452324509932,61.20344160644959,60.04323759394829,59.53882701089414
2019-03-03,58.48182142857143,55.65054511874547,54.287059523809525,63.44200595238095,55.04277237457483,60.10926036581625,62.10703279439622,58.7198009656328,60.14469812830286
2019-03-10,58.99095238095238,55.65054511874547,54.287059523809525,59.17857142857143,55.07875870080175,58.326874297146574,59.97392212030786,58.156921373307945,59.58916722207165
2019-03-17,60.07891071428571,55.65054511874547,54.287059523809525,60.88598809523809,55.11474502702867,59.566913060607945,61.13411605634701,58.58472035951352,60.226699817848356
2019-03-24,57.6493630952381,55.65054511874547,54.287059523809525,60.75360714285714,55.15073135325559,58.811449794801824,60.031674423415325,58.562512282242814,60.63796607781617
2019-03-31,56.7715119047619,55.65054511874547,54.287059523809525,55.40161904761904,55.186717679482506,54.861038522162495,57.07132625520853,55.19423695413318,60.082424138071914
2019-04-07,56.43385714285715,55.65054511874547,54.287059523809525,54.534148809523806,55.222704005709424,54.53211921257058,56.94545356348681,55.168203145530555,59.30574892290471
2019-04-14,56.76597023809524,55.65054511874547,54.287059523809525,56.09988095238096,55.25869033193634,56.75130418060576,57.68332159952911,55.25434895239095,59.704494512213245
2019-04-21,51.656261904761905,55.65054511874547,54.287059523809525,54.434273809523816,55.29467665816327,54.59344424606185,56.454290777589904,55.07631727952024,59.59237514266175
2019-04-28,52.33675,55.65054511874547,54.287059523809525,55.34271428571428,55.33066298439019,55.07428331871611,54.93656025965788,55.09510212314964,60.06455249000135
2019-05-05,53.123172619047615,55.65054511874547,54.287059523809525,52.813136904761905,55.366649310617106,53.81024402914532,56.00364295519853,54.05083262342312,59.46431908251138
2019-05-12,56.023577380952375,55.65054511874547,54.287059523809525,52.85682142857143,55.402635636844025,53.68101072897467,55.672587526995585,53.85942311935253,59.95105662962328
2019-05-19,55.28559523809523,55.65054511874547,54.287059523809525,55.36916666666667,55.43862196307094,55.749238256404354,56.929282864696916,55.11064009969594,60.51035624936321
2019-05-26,54.94535119047619,55.65054511874547,54.287059523809525,53.64008928571428,55.47460828929786,52.559510086439005,55.174354488606696,54.205199569439834,60.566082929443695
2019-06-02,51.30880357142858,55.65054511874547,54.287059523809525,53.98164880952381,55.51059461552478,53.24592739719607,55.9991366458903,54.513204960423366,60.64806793330921
