date,actual,sarima_forecast,ci_lower,ci_upper
2019-02-03 00:00:00+00:00,62.08876785714286,62.123910689610526,59.28710462544381,64.96071675377723
2019-02-10 00:00:00+00:00,62.35953571428571,62.032942530503114,59.19608485132791,64.86980020967832
2019-02-17 00:00:00+00:00,60.79900595238095,61.7876860410638,58.95081654428932,64.62455553783829
2019-02-24 00:00:00+00:00,59.46751785714285,61.58382214481881,58.74694996107927,64.42069432855835
2019-03-03 00:00:00+00:00,58.48182142857143,61.93430559616582,59.097432802425296,64.77117838990634
2019-03-10 00:00:00+00:00,58.99095238095238,60.36428790894381,57.527414976745284,63.20116084114233
2019-03-17 00:00:00+00:00,60.07891071428571,59.88704740521876,57.05017444159983,62.72392036883769
2019-03-24 00:00:00+00:00,57.6493630952381,58.93590614651545,56.09903317573429,61.77277911729661
2019-03-31 00:00:00+00:00,56.7715119047619,56.27618308560148,53.439310113192846,59.113056058010116
2019-04-07 00:00:00+00:00,56.43385714285715,56.01916494384604,53.182291971035504,58.85603791665658
2019-04-14 00:00:00+00:00,56.76597023809524,55.824478939237416,52.987605966333376,58.661351912141456
2019-04-21 00:00:00+00:00,51.656261904761905,55.55096695432535,52.71409398136748,58.38783992728321
2019-04-28 00:00:00+00:00,52.33675,56.2262956699289,53.389422696956515,59.06316864290129
2019-05-05 00:00:00+00:00,53.123172619047615,54.61303394891272,51.776160975904425,57.44990692192102
2019-05-12 00:00:00+00:00,56.023577380952375,54.74228094355082,51.905407970532075,57.57915391656956
2019-05-19 00:00:00+00:00,55.28559523809523,55.33713502867332,52.500262055619594,58.17400800172705
2019-05-26 00:00:00+00:00,54.94535119047619,53.66865936963176,50.83178639656778,56.505532342695744
2019-06-02 00:00:00+00:00,51.30880357142858,55.01976603784673,52.182893064747695,57.85663901094576
2019-06-09 00:00:00+00:00,54.52816071428571,55.66363211098908,52.82675913787881,58.500505084099345
2019-06-16 00:00:00+00:00,52.28670833333333,55.622370402147595,52.78549742899345,58.45924337530174
2019-06-23 00:00:00+00:00,52.54121428571428,56.578361299207806,53.74148832596358,59.41523427245203
2019-06-30 00:00:00+00:00,55.95528571428571,56.55133586919921,53.71446289520709,59.38820884319132
2019-07-07 00:00:00+00:00,55.179630952380954,56.63052786575975,53.79365488964464,59.46740084187486
2019-07-14 00:00:00+00:00,53.908166666666666,56.25431569083909,53.32037211829741,59.18825926338077
2019-07-21 00:00:00+00:00,53.511964285714285,56.14795024503952,53.19557039288557,59.10033009719346
2019-07-28 00:00:00+00:00,54.20710119047619,55.0834619412379,52.12869958027194,58.03822430220386
2019-08-04 00:00:00+00:00,52.39210119047619,54.77526590066993,51.82005510434169,57.73047669699817
2019-08-11 00:00:00+00:00,52.01905357142856,54.546416750320276,51.5911089415322,57.501724559108354
2019-08-18 00:00:00+00:00,51.1552380952381,54.28391431666662,51.32858473896788,57.23924389436535
2019-08-25 00:00:00+00:00,51.83813095238096,55.662423233902096,52.70708872915405,58.61775773865014
2019-09-01 00:00:00+00:00,54.09197023809524,55.69636799720106,52.741032375109356,58.65170361929276
2019-09-08 00:00:00+00:00,52.44316071428571,55.77427053685428,52.81893466120587,58.72960641250269
2019-09-15 00:00:00+00:00,53.348488095238096,56.44804597127158,53.49271003809167,59.40338190445149
2019-09-22 00:00:00+00:00,53.222547619047624,55.55277673100799,52.59744078471905,58.50811267729693
2019-09-29 00:00:00+00:00,54.82947619047619,56.493572015432896,53.538236066170484,59.44890796469531
2019-10-06 00:00:00+00:00,52.33063095238096,56.433909541536444,53.47857359154461,59.38924549152828
